Number of Beds,Number of Paths,Area of Apartment,Location,Price,Links,Seller Name,Seller Link
4 Beds,2 Baths,400 Sq. M.,"Sporting, Alexandria","12,000,000",https://www.bayut.eg/en/property/details-502626210.html,Mohamed Abdelsalam,https://www.bayut.eg/en/brokers/mohamed-abdelsalam-c3435840-305e-4d4f-a80e-9362f9508e7c.html
4 Beds,3 Baths,217 Sq. M.,"Alex West, Agami, Alexandria","8,250,000",https://www.bayut.eg/en/property/details-502678081.html,Ahmed Elsayed,https://www.bayut.eg/en/brokers/ahmed-elsayed-0760a789-04eb-4dc9-b580-3ad62639b9f7.html
4 Beds,3 Baths,217 Sq. M.,"Alex West, Agami, Alexandria","8,250,000",https://www.bayut.eg/en/property/details-502678081.html,Ahmed Elsayed,https://www.bayut.eg/en/brokers/ahmed-elsayed-0760a789-04eb-4dc9-b580-3ad62639b9f7.html
4 Beds,3 Baths,217 Sq. M.,"Alex West, Agami, Alexandria","8,250,000",https://www.bayut.eg/en/property/details-502678081.html,Ahmed Elsayed,https://www.bayut.eg/en/brokers/ahmed-elsayed-0760a789-04eb-4dc9-b580-3ad62639b9f7.html
2 Beds,2 Baths,119 Sq. M.,"Sawari, Moharam Bik, Alexandria","5,497,000",https://www.bayut.eg/en/property/details-502661273.html,Ahmed Elsayed,https://www.bayut.eg/en/brokers/ahmed-elsayed-0760a789-04eb-4dc9-b580-3ad62639b9f7.html
2 Beds,2 Baths,119 Sq. M.,"Sawari, Moharam Bik, Alexandria","5,497,000",https://www.bayut.eg/en/property/details-502661273.html,Ahmed Elsayed,https://www.bayut.eg/en/brokers/ahmed-elsayed-0760a789-04eb-4dc9-b580-3ad62639b9f7.html
3 Beds,2 Baths,241 Sq. M.,"Gianaclis, Alexandria","7,500,000",https://www.bayut.eg/en/property/details-502656186.html,Coldwell Banker New Alex,nan
3 Beds,2 Baths,241 Sq. M.,"Gianaclis, Alexandria","7,500,000",https://www.bayut.eg/en/property/details-502656186.html,Coldwell Banker New Alex,nan
3 Beds,2 Baths,195 Sq. M.,"Laurent, Alexandria","6,200,000",https://www.bayut.eg/en/property/details-502645274.html,Marihan Medhat Mohamed,nan
3 Beds,2 Baths,195 Sq. M.,"Laurent, Alexandria","6,200,000",https://www.bayut.eg/en/property/details-502645274.html,Marihan Medhat Mohamed,nan
