Number of Beds,Number of Paths,Area of Apartment,Location,Price,Links
4 Beds,2 Baths,400 Sq. M.,"Sporting, Alexandria","12,000,000",https://www.bayut.eg/en/property/details-502626210.html
4 Beds,3 Baths,217 Sq. M.,"Alex West, Agami, Alexandria","8,250,000",https://www.bayut.eg/en/property/details-502678081.html
4 Beds,3 Baths,217 Sq. M.,"Alex West, Agami, Alexandria","8,250,000",https://www.bayut.eg/en/property/details-502678081.html
4 Beds,3 Baths,217 Sq. M.,"Alex West, Agami, Alexandria","8,250,000",https://www.bayut.eg/en/property/details-502678081.html
2 Beds,2 Baths,119 Sq. M.,"Sawari, Moharam Bik, Alexandria","5,497,000",https://www.bayut.eg/en/property/details-502661273.html
2 Beds,2 Baths,119 Sq. M.,"Sawari, Moharam Bik, Alexandria","5,497,000",https://www.bayut.eg/en/property/details-502661273.html
3 Beds,2 Baths,241 Sq. M.,"Gianaclis, Alexandria","7,500,000",https://www.bayut.eg/en/property/details-502656186.html
3 Beds,2 Baths,241 Sq. M.,"Gianaclis, Alexandria","7,500,000",https://www.bayut.eg/en/property/details-502656186.html
3 Beds,2 Baths,195 Sq. M.,"Laurent, Alexandria","6,200,000",https://www.bayut.eg/en/property/details-502645274.html
3 Beds,2 Baths,195 Sq. M.,"Laurent, Alexandria","6,200,000",https://www.bayut.eg/en/property/details-502645274.html
2 Beds,1 Bath,135 Sq. M.,"Saba Pasha, Alexandria","4,750,000",https://www.bayut.eg/en/property/details-502618688.html
2 Beds,1 Bath,135 Sq. M.,"Saba Pasha, Alexandria","4,750,000",https://www.bayut.eg/en/property/details-502618688.html
3 Beds,1 Bath,141 Sq. M.,"Fayrouzit Smouha, Smoha, Alexandria","3,650,000",https://www.bayut.eg/en/property/details-502524746.html
3 Beds,1 Bath,141 Sq. M.,"Fayrouzit Smouha, Smoha, Alexandria","3,650,000",https://www.bayut.eg/en/property/details-502524746.html
4 Beds,2 Baths,215 Sq. M.,"Sidi Beshr, Alexandria","4,000,000",https://www.bayut.eg/en/property/details-502332245.html
4 Beds,2 Baths,215 Sq. M.,"Sidi Beshr, Alexandria","4,000,000",https://www.bayut.eg/en/property/details-502332245.html
3 Beds,3 Baths,220 Sq. M.,"Laurent, Alexandria","8,000,000",https://www.bayut.eg/en/property/details-502319615.html
3 Beds,3 Baths,220 Sq. M.,"Laurent, Alexandria","8,000,000",https://www.bayut.eg/en/property/details-502319615.html
2 Beds,2 Baths,120 Sq. M.,"Sidi Beshr, Alexandria","3,500,000",https://www.bayut.eg/en/property/details-502264056.html
2 Beds,2 Baths,120 Sq. M.,"Sidi Beshr, Alexandria","3,500,000",https://www.bayut.eg/en/property/details-502264056.html
3 Beds,2 Baths,215 Sq. M.,"Bolkly, Alexandria","5,500,000",https://www.bayut.eg/en/property/details-502293198.html
3 Beds,2 Baths,215 Sq. M.,"Bolkly, Alexandria","5,500,000",https://www.bayut.eg/en/property/details-502293198.html
3 Beds,1 Bath,135 Sq. M.,"Bolkly, Alexandria","3,250,000",https://www.bayut.eg/en/property/details-501928880.html
3 Beds,1 Bath,135 Sq. M.,"Bolkly, Alexandria","3,250,000",https://www.bayut.eg/en/property/details-501928880.html
"1,000 Sq. M.","Moharam Bik, Alexandria","3,000,000",,,https://www.bayut.eg/en/property/details-502465343.html
"1,000 Sq. M.","Moharam Bik, Alexandria","3,000,000",,,https://www.bayut.eg/en/property/details-502465343.html
3 Beds,2 Baths,176 Sq. M.,"Smoha, Alexandria","8,200,000",https://www.bayut.eg/en/property/details-502680253.html
3 Beds,2 Baths,176 Sq. M.,"Smoha, Alexandria","8,200,000",https://www.bayut.eg/en/property/details-502680253.html
5 Beds,5 Baths,887 Sq. M.,"King Mariout, Alexandria","35,000,000",https://www.bayut.eg/en/property/details-502680221.html
5 Beds,5 Baths,887 Sq. M.,"King Mariout, Alexandria","35,000,000",https://www.bayut.eg/en/property/details-502680221.html
3 Beds,3 Baths,220 Sq. M.,"Smoha, Alexandria","14,700,000",https://www.bayut.eg/en/property/details-502678530.html
3 Beds,3 Baths,220 Sq. M.,"Smoha, Alexandria","14,700,000",https://www.bayut.eg/en/property/details-502678530.html
3 Beds,2 Baths,175 Sq. M.,"Saba Pasha, Alexandria","5,500,000",https://www.bayut.eg/en/property/details-502676419.html
3 Beds,2 Baths,175 Sq. M.,"Saba Pasha, Alexandria","5,500,000",https://www.bayut.eg/en/property/details-502676419.html
3 Beds,2 Baths,203 Sq. M.,"Laurent, Alexandria","5,350,000",https://www.bayut.eg/en/property/details-502673424.html
3 Beds,2 Baths,203 Sq. M.,"Laurent, Alexandria","5,350,000",https://www.bayut.eg/en/property/details-502673424.html
3 Beds,1 Bath,161 Sq. M.,"Murooj, Smoha, Alexandria","6,000,000",https://www.bayut.eg/en/property/details-502668953.html
3 Beds,1 Bath,161 Sq. M.,"Murooj, Smoha, Alexandria","6,000,000",https://www.bayut.eg/en/property/details-502668953.html
3 Beds,1 Bath,229 Sq. M.,"Murooj, Smoha, Alexandria","11,450,000",https://www.bayut.eg/en/property/details-502668826.html
3 Beds,1 Bath,229 Sq. M.,"Murooj, Smoha, Alexandria","11,450,000",https://www.bayut.eg/en/property/details-502668826.html
3 Beds,1 Bath,229 Sq. M.,"Murooj, Smoha, Alexandria","11,450,000",https://www.bayut.eg/en/property/details-502668800.html
3 Beds,1 Bath,229 Sq. M.,"Murooj, Smoha, Alexandria","11,450,000",https://www.bayut.eg/en/property/details-502668800.html
